reference,settled_at_utc,amount,status
TXNA0DFE6103250,2026-07-15 06:07:37,"Rs. 8,90,649.51",SETTLED
TXNA0DFE6100981,2026-07-15 01:04:32,"4,54,220.10",SETTLED
TXNA0DFE6102475,2026-07-15 08:53:00,"25,302.63",SETTLED
TXNA0DFE6102705,2026-07-15 07:01:52,"4,46,324.43/-",SETTLED
TXNA0DFE6100291,2026-07-15 03:40:44,"Rs. 6,761.77",SETTLED
TXNA0DFE6100027,2026-07-15 05:42:10,"3,38,862.18",SETTLED
TXNA0DFE6100036,2026-07-15 05:15:41,"5,69,704.59",SETTLED
TXNA0DFE6100167,2026-07-15 00:38:13,"71,921.00/-",SETTLED
TXNA0DFE6101906,2026-07-15 15:33:31,"Rs. 5,15,967.01",SETTLED
TXNA0DFE6103522,2026-07-15 01:23:10,"7,73,548.07",SETTLED
TXNA0DFE6103056,2026-07-15 04:16:49,"6,31,056.20",SETTLED
TXNA0DFE6101734,2026-07-15 03:03:55,"4,73,162.41/-",SETTLED
TXNA0DFE6101525,2026-07-15 12:59:02,"Rs. 2,53,806.43",SETTLED
TXNA0DFE6103715,2026-07-15 02:09:32,"7,26,870.93",SETTLED
TXNA0DFE6100318,2026-07-15 14:36:26,"4,55,461.79",SETTLED
TXNA0DFE6100096,2026-07-15 15:18:08,"3,57,658.18/-",SETTLED
TXNA0DFE6100148,2026-07-15 11:38:35,"Rs. 2,33,675.72",SETTLED
TXNA0DFE6102178,2026-07-15 10:11:57,"8,26,322.60",SETTLED
TXNA0DFE6100381,2026-07-15 13:53:31,"5,34,793.48",SETTLED
TXNA0DFE6103224,2026-07-15 06:48:53,"7,96,524.09/-",SETTLED
TXNA0DFE6100650,2026-07-15 12:24:50,"Rs. 1,87,045.34",SETTLED
TXNA0DFE6101581,2026-07-15 05:05:43,"3,65,266.33",SETTLED
TXNA0DFE6102478,2026-07-15 13:26:08,"2,57,481.18",SETTLED
TXNA0DFE6102521,2026-07-15 11:59:25,"68,148.19/-",SETTLED
TXNA0DFE6103570,2026-07-15 10:42:27,"Rs. 8,48,125.80",SETTLED
TXNA0DFE6100303,2026-07-15 15:05:23,"6,82,998.22",SETTLED
TXNA0DFE6100583,2026-07-15 02:08:08,"5,47,847.83",SETTLED
TXNA0DFE6100660,2026-07-15 02:33:06,"3,25,551.10/-",SETTLED
TXNA0DFE6103391,2026-07-15 03:34:44,"Rs. 79,192.06",SETTLED
TXNA0DFE6101419,2026-07-15 11:08:29,"8,89,517.35",SETTLED
TXNA0DFE6100989,2026-07-15 07:07:07,"7,37,507.21",SETTLED
TXNA0DFE6100363,2026-07-15 02:01:22,"1,31,888.58/-",SETTLED
TXNA0DFE6100644,2026-07-15 11:03:26,"Rs. 1,54,928.53",SETTLED
TXNA0DFE6100951,2026-07-15 09:22:57,"5,55,176.00",SETTLED
TXNA0DFE6101046,2026-07-15 02:24:05,"2,90,756.36",SETTLED
TXNA0DFE6101000,2026-07-15 06:36:19,"6,07,388.81/-",SETTLED
TXNA0DFE6102785,2026-07-15 10:56:13,"Rs. 30,356.51",SETTLED
TXNA0DFE6103078,2026-07-15 07:12:04,"2,25,229.46",SETTLED
TXNA0DFE6101119,2026-07-15 09:24:09,"7,19,094.99",SETTLED
TXNA0DFE6103531,2026-07-15 02:32:46,"4,63,927.41/-",SETTLED
TXNA0DFE6100895,2026-07-15 06:52:40,"Rs. 3,51,500.78",SETTLED
TXNA0DFE6200000,2026-07-15 05:41:01,"53,655.85",SETTLED
TXNA0DFE6103633,2026-07-15 11:14:23,"4,48,115.53",SETTLED
TXNA0DFE6101863,2026-07-15 09:51:40,"3,71,184.02/-",SETTLED
TXNA0DFE6100130,2026-07-15 02:35:59,"Rs. 63,174.32",SETTLED
TXNA0DFE6100385,2026-07-15 01:23:55,"3,86,671.39",SETTLED
TXNA0DFE6100875,2026-07-15 01:59:14,"1,00,774.69",SETTLED
TXNA0DFE6103354,2026-07-15 06:40:05,"5,43,266.57/-",SETTLED
TXNA0DFE6101896,2026-07-15 09:09:43,"Rs. 5,28,731.76",SETTLED
TXNA0DFE6103611,2026-07-15 06:43:55,"4,25,306.09",SETTLED
TXNA0DFE6103294,2026-07-15 16:10:48,"3,22,966.00",SETTLED
TXNA0DFE6103670,2026-07-15 14:04:00,"2,07,717.88/-",SETTLED
TXNA0DFE6100988,2026-07-15 03:35:53,"Rs. 4,93,219.80",SETTLED
TXNA0DFE6103632,2026-07-15 15:27:15,"2,00,850.01",SETTLED
TXNA0DFE6100661,2026-07-15 05:45:06,"43,260.12",SETTLED
TXNA0DFE6101629,2026-07-15 08:01:24,"3,45,525.58/-",SETTLED
TXNA0DFE6101446,2026-07-15 02:53:13,"Rs. 2,82,308.31",SETTLED
TXNA0DFE6100818,2026-07-15 12:14:11,"3,09,948.74",SETTLED
TXNA0DFE6103281,2026-07-15 15:58:57,"2,34,589.03",SETTLED
TXNA0DFE6102255,2026-07-15 01:53:13,"2,88,880.19/-",SETTLED
TXNA0DFE6103066,2026-07-15 02:13:44,"Rs. 2,03,841.56",SETTLED
TXNA0DFE6101064,2026-07-15 14:41:21,"2,25,818.60",SETTLED
TXNA0DFE6103613,2026-07-15 07:35:15,"1,12,005.97",SETTLED
TXNA0DFE6102924,2026-07-15 05:42:52,"6,25,138.43/-",SETTLED
TXNA0DFE6102691,2026-07-15 10:21:19,"Rs. 1,04,154.86",SETTLED
TXNA0DFE6101263,2026-07-15 10:01:37,"83,523.92",SETTLED
TXNA0DFE6102401,2026-07-15 10:53:27,"8,27,490.92",SETTLED
TXNA0DFE6101960,2026-07-15 16:09:14,"7,96,349.03/-",SETTLED
TXNA0DFE6100779,2026-07-15 09:05:42,"Rs. 6,12,212.25",SETTLED
TXNA0DFE6101398,2026-07-15 04:16:17,"4,47,823.89",SETTLED
TXNA0DFE6101453,2026-07-15 06:22:50,"8,87,371.43",SETTLED
TXNA0DFE6100374,2026-07-15 08:22:11,"5,62,210.29/-",SETTLED
TXNA0DFE6100806,2026-07-15 11:22:41,"Rs. 7,67,854.57",SETTLED
TXNA0DFE6102253,2026-07-15 07:12:41,"23,694.95",SETTLED
TXNA0DFE6350012,2026-07-15 18:57:46,"4,03,374.53",SETTLED
TXNA0DFE6101396,2026-07-15 00:33:14,"1,89,580.70/-",SETTLED
TXNA0DFE6101324,2026-07-15 04:26:11,"Rs. 8,06,451.17",SETTLED
TXNA0DFE6101417,2026-07-15 08:26:12,"22,015.57",SETTLED
TXNA0DFE6100472,2026-07-15 13:21:56,"75,404.30",SETTLED
TXNA0DFE6101508,2026-07-15 03:59:29,"7,30,719.17/-",SETTLED
TXNA0DFE6103284,2026-07-15 09:17:53,"Rs. 3,08,982.25",SETTLED
TXNA0DFE6102549,2026-07-15 06:33:31,"1,22,168.47",SETTLED
TXNA0DFE6101612,2026-07-15 03:01:56,"4,48,869.51",SETTLED
TXNA0DFE6102704,2026-07-15 06:07:25,"7,86,017.81/-",SETTLED
TXNA0DFE6103544,2026-07-15 15:01:33,"Rs. 75,290.81",SETTLED
TXNA0DFE6101766,2026-07-15 07:40:44,"7,83,569.31",SETTLED
TXNA0DFE6103616,2026-07-15 12:24:56,"5,91,833.06",SETTLED
TXNA0DFE6103518,2026-07-15 07:49:48,"8,84,165.34/-",SETTLED
TXNA0DFE6103037,2026-07-15 06:00:43,"Rs. 4,37,468.45",SETTLED
TXNA0DFE6103346,2026-07-15 05:32:13,"4,13,288.99",SETTLED
TXNA0DFE6101205,2026-07-15 01:26:57,"48,382.48",SETTLED
TXNA0DFE6100215,2026-07-15 02:09:05,"7,46,704.50/-",SETTLED
TXNA0DFE6100928,2026-07-15 13:12:45,"Rs. 6,63,173.20",SETTLED
TXNA0DFE6101891,2026-07-15 04:50:17,"2,73,006.81",SETTLED
TXNA0DFE6101422,2026-07-15 06:06:39,"4,05,563.82",SETTLED
TXNA0DFE6100798,2026-07-15 12:41:42,"7,67,666.02/-",SETTLED
TXNA0DFE6102470,2026-07-15 11:29:41,"Rs. 2,43,380.41",SETTLED
TXNA0DFE6100625,2026-07-15 13:22:21,"4,43,917.53",SETTLED
TXNA0DFE6103546,2026-07-15 05:58:03,"1,10,533.07",SETTLED
TXNA0DFE6103064,2026-07-15 06:39:48,"6,94,816.86/-",SETTLED
TXNA0DFE6100366,2026-07-15 04:54:51,"Rs. 4,35,572.52",SETTLED
TXNA0DFE6100934,2026-07-15 00:50:37,"5,09,977.59",SETTLED
TXNA0DFE6102084,2026-07-15 05:53:48,"92,447.23",SETTLED
TXNA0DFE6103411,2026-07-15 03:27:23,"6,32,675.39/-",SETTLED
TXNA0DFE6100879,2026-07-15 15:45:38,"Rs. 8,79,199.15",SETTLED
TXNA0DFE6102180,2026-07-15 01:22:19,"2,33,856.20",SETTLED
TXNA0DFE6103008,2026-07-15 11:36:32,"3,27,468.38",SETTLED
TXNA0DFE6101680,2026-07-15 02:08:32,"4,29,571.20/-",SETTLED
TXNA0DFE6100328,2026-07-15 08:37:05,"Rs. 2,86,314.13",SETTLED
TXNA0DFE6102251,2026-07-15 00:59:02,"4,96,207.81",SETTLED
TXNA0DFE6100438,2026-07-15 04:15:36,"4,14,053.49",SETTLED
TXNA0DFE6100967,2026-07-15 10:45:48,"3,85,077.10/-",SETTLED
TXNA0DFE6102380,2026-07-15 10:12:33,"Rs. 2,18,015.04",SETTLED
TXNA0DFE6103147,2026-07-15 12:41:31,"8,32,962.85",SETTLED
TXNA0DFE6100655,2026-07-15 10:07:33,"6,61,965.48",SETTLED
TXNA0DFE6100262,2026-07-15 02:49:33,"4,65,223.91/-",SETTLED
TXNA0DFE6101828,2026-07-15 10:03:35,"Rs. 4,76,570.17",SETTLED
TXNA0DFE6102870,2026-07-15 00:39:37,"7,71,001.83",SETTLED
TXNA0DFE6102556,2026-07-15 07:56:52,"7,19,030.68",SETTLED
TXNA0DFE6100792,2026-07-15 03:14:18,"5,65,308.05/-",SETTLED
TXNA0DFE6103536,2026-07-15 02:51:39,"Rs. 2,78,709.19",SETTLED
TXNA0DFE6100395,2026-07-15 15:53:50,"22,813.40",SETTLED
TXNA0DFE6102609,2026-07-15 13:20:19,"4,02,896.98",SETTLED
TXNA0DFE6101359,2026-07-15 04:52:33,"6,24,506.82/-",SETTLED
TXNA0DFE6103108,2026-07-15 15:37:42,"Rs. 1,59,506.41",SETTLED
TXNA0DFE6100983,2026-07-15 01:40:24,"6,45,221.97",SETTLED
TXNA0DFE6100957,2026-07-15 10:28:06,"7,02,549.29",SETTLED
TXNA0DFE6500005,2026-07-15 13:42:20,"85,029.24/-",
TXNA0DFE6100587,2026-07-15 07:20:16,"Rs. 8,45,695.02",SETTLED
TXNA0DFE6100078,2026-07-15 07:46:10,"6,52,185.56",SETTLED
TXNA0DFE6102808,2026-07-15 14:46:50,"36,092.37",SETTLED
TXNA0DFE6103266,2026-07-15 12:38:57,"6,56,435.34/-",SETTLED
TXNA0DFE6101380,2026-07-15 05:04:21,"Rs. 5,30,881.41",SETTLED
TXNA0DFE6103661,2026-07-15 08:19:39,"6,04,420.00",SETTLED
TXNA0DFE6100892,2026-07-15 14:06:18,"7,39,107.81",SETTLED
TXNA0DFE6101203,2026-07-15 08:42:37,"35,692.77/-",SETTLED
TXNA0DFE6101800,2026-07-15 01:29:47,"Rs. 5,09,242.45",SETTLED
TXNA0DFE6101072,2026-07-15 05:48:18,"4,40,871.57",SETTLED
TXNA0DFE6100535,2026-07-15 14:19:22,"4,32,636.37",SETTLED
TXNA0DFE6101761,2026-07-15 12:40:00,"6,27,275.00/-",SETTLED
TXNA0DFE6101811,2026-07-15 14:18:37,"Rs. 4,81,663.82",SETTLED
TXNA0DFE6100566,2026-07-15 03:02:05,"41,359.92",SETTLED
TXNA0DFE6100990,2026-07-15 06:33:44,"7,16,034.49",SETTLED
TXNA0DFE6100249,2026-07-15 11:36:13,"69,217.80/-",SETTLED
TXNA0DFE6102283,2026-07-15 12:02:37,"Rs. 3,06,562.78",SETTLED
TXNA0DFE6101578,2026-07-15 01:42:19,"7,09,742.41",SETTLED
TXNA0DFE6101651,2026-07-15 16:22:14,"8,09,992.20",SETTLED
TXNA0DFE6101176,2026-07-15 04:24:12,"22,507.77/-",SETTLED
TXNA0DFE6100050,2026-07-15 00:36:28,"Rs. 7,07,744.45",SETTLED
TXNA0DFE6100083,2026-07-15 02:19:10,"3,48,200.74",SETTLED
TXNA0DFE6100935,2026-07-15 14:54:40,"4,71,383.49",SETTLED
TXNA0DFE6103164,2026-07-15 03:06:40,"1,26,383.55/-",SETTLED
TXNA0DFE6100193,2026-07-15 13:08:02,"Rs. 3,16,701.38",SETTLED
TXNA0DFE6102372,2026-07-15 03:11:45,"4,74,797.94",SETTLED
TXNA0DFE6100855,2026-07-15 02:27:50,"2,82,760.40",SETTLED
TXNA0DFE6102457,2026-07-15 02:06:49,"8,48,009.98/-",SETTLED
TXNA0DFE6100315,2026-07-15 04:12:35,"Rs. 3,49,522.02",SETTLED
TXNA0DFE6500004,2026-07-15 13:30:19,"1,68,390.46",
TXNA0DFE6102304,2026-07-15 15:05:35,"2,73,990.90",SETTLED
TXNA0DFE6100373,2026-07-15 06:45:17,"43,045.04/-",SETTLED
TXNA0DFE6101464,2026-07-15 15:10:45,"Rs. 8,88,327.30",SETTLED
TXNA0DFE6101683,2026-07-15 10:29:24,"17,680.30",SETTLED
TXNA0DFE6103001,2026-07-15 15:53:57,"4,74,817.95",SETTLED
TXNA0DFE6102129,2026-07-15 10:55:10,"14,639.44/-",SETTLED
TXNA0DFE6100267,2026-07-15 03:12:14,"Rs. 7,09,390.70",SETTLED
TXNA0DFE6102379,2026-07-15 08:35:37,"1,50,582.75",SETTLED
